LATE	BILL	TYPE
16	79	0
47	264	0
22	97	0
47	289	0
47	288	0
21	100	0
44	250	0
27	140	0
19	97	0
48	299	0
16	80	0
50	311	0
11	46	0
17	110	0
25	146	0
37	201	0
22	95	0
38	205	0
24	150	0
31	158	0
51	310	0
40	197	0
34	180	0
30	149	0
39	211	0
5	90	0
11	60	0
33	187	0
42	220	0
15	70	0
48	273	0
10	50	0
29	162	0
25	153	0
43	225	0
42	210	0
30	154	0
41	215	0
49	301	0
43	240	0
36	205	0
6	95	0
52	302	0
19	98	0
26	150	0
36	179	0
13	75	0
35	199	0
74	150	1
47	289	1
39	310	1
47	299	1
53	240	1
71	179	1
82	90	1
83	95	1
90	50	1
92	80	1
71	158	1
80	110	1
83	95	1
57	220	1
84	100	1
63	211	1
73	149	1
60	205	1
50	302	1
91	70	1
49	250	1
67	201	1
83	97	1
83	98	1
81	97	1
74	153	1
69	150	1
65	146	1
70	154	1
60	197	1
53	273	1
63	205	1
67	199	1
99	60	1
60	210	1
85	75	1
79	140	1
68	187	1
70	162	1
47	311	1
51	264	1
69	180	1
44	301	1
47	288	1
55	225	1
86	79	1
94	46	1
59	215	1
